State,County,Scenario,Value
Tennessee,Loudon,Conservative,1
Virginia,Loudoun,Conservative,1
Iowa,Louisa,Conservative,1
Virginia,Louisa,Conservative,1
Nebraska,Loup,Conservative,1
Oklahoma,Love,Conservative,1
Texas,Loving,Conservative,1
Alabama,Lowndes,Conservative,1
Georgia,Lowndes,Conservative,1
Mississippi,Lowndes,Conservative,1
Texas,Lubbock,Conservative,1
Iowa,Lucas,Conservative,1
Ohio,Lucas,Conservative,1
Michigan,Luce,Conservative,1
Georgia,Lumpkin,Conservative,1
New Mexico,Luna,Conservative,1
Virginia,Lunenburg,Conservative,1
Pennsylvania,Luzerne,Conservative,1
Pennsylvania,Lycoming,Conservative,1
South Dakota,Lyman,Conservative,1
Texas,Lynn,Conservative,1
Iowa,Lyon,Conservative,1
Kansas,Lyon,Conservative,1
Kentucky,Lyon,Conservative,1
Minnesota,Lyon,Conservative,1
Nevada,Lyon,Conservative,1
Michigan,Mackinac,Conservative,1
Michigan,Macomb,Conservative,1
Alabama,Macon,Conservative,1
Georgia,Macon,Conservative,1
Illinois,Macon,Conservative,1
Missouri,Macon,Conservative,1
North Carolina,Macon,Conservative,1
Tennessee,Macon,Conservative,1
Illinois,Macoupin,Conservative,1
California,Madera,Conservative,1
Alabama,Madison,Conservative,1
Arkansas,Madison,Conservative,1
Florida,Madison,Conservative,1
Georgia,Madison,Conservative,1
Iowa,Madison,Conservative,1
Idaho,Madison,Conservative,1
Illinois,Madison,Conservative,1
Indiana,Madison,Conservative,1
Kentucky,Madison,Conservative,1
Louisiana,Madison,Conservative,1
Missouri,Madison,Conservative,1
Mississippi,Madison,Conservative,1
Montana,Madison,Conservative,1
North Carolina,Madison,Conservative,1
Nebraska,Madison,Conservative,1
New York,Madison,Conservative,1
Ohio,Madison,Conservative,1
Tennessee,Madison,Conservative,1
Texas,Madison,Conservative,1
Virginia,Madison,Conservative,1
Kentucky,Magoffin,Conservative,1
Iowa,Mahaska,Conservative,1
Minnesota,Mahnomen,Conservative,1
Ohio,Mahoning,Conservative,1
Oklahoma,Major,Conservative,1
Oregon,Malheur,Conservative,1
Florida,Manatee,Conservative,1
Michigan,Manistee,Conservative,1
Wisconsin,Manitowoc,Conservative,1
Wisconsin,Marathon,Conservative,1
Alabama,Marengo,Conservative,1
Arizona,Maricopa,Conservative,1
Missouri,Maries,Conservative,1
California,Marin,Conservative,1
Wisconsin,Marinette,Conservative,1
Alabama,Marion,Conservative,1
Arkansas,Marion,Conservative,1
Florida,Marion,Conservative,1
Georgia,Marion,Conservative,1
Iowa,Marion,Conservative,1
Illinois,Marion,Conservative,1
Indiana,Marion,Conservative,1
Kansas,Marion,Conservative,1
Kentucky,Marion,Conservative,1
Missouri,Marion,Conservative,1
Mississippi,Marion,Conservative,1
Ohio,Marion,Conservative,1
Oregon,Marion,Conservative,1
South Carolina,Marion,Conservative,1
Tennessee,Marion,Conservative,1
Texas,Marion,Conservative,1
West Virginia,Marion,Conservative,1
California,Mariposa,Conservative,1
South Carolina,Marlboro,Conservative,1
Michigan,Marquette,Conservative,1
Wisconsin,Marquette,Conservative,1
Alabama,Marshall,Conservative,1
Iowa,Marshall,Conservative,1
Illinois,Marshall,Conservative,1
Indiana,Marshall,Conservative,1
Kansas,Marshall,Conservative,1
Kentucky,Marshall,Conservative,1
Minnesota,Marshall,Conservative,1
Mississippi,Marshall,Conservative,1
Oklahoma,Marshall,Conservative,1
South Dakota,Marshall,Conservative,1
Tennessee,Marshall,Conservative,1
West Virginia,Marshall,Conservative,1
Florida,Martin,Conservative,1
Indiana,Martin,Conservative,1
Kentucky,Martin,Conservative,1
Minnesota,Martin,Conservative,1
North Carolina,Martin,Conservative,1
Texas,Martin,Conservative,1
Illinois,Mason,Conservative,1
Kentucky,Mason,Conservative,1
Michigan,Mason,Conservative,1
Texas,Mason,Conservative,1
Washington,Mason,Conservative,1
West Virginia,Mason,Conservative,1
Illinois,Massac,Conservative,1
Texas,Matagorda,Conservative,1
Virginia,Mathews,Conservative,1
Tennessee,Maury,Conservative,1
Texas,Maverick,Conservative,1
Oklahoma,Mayes,Conservative,1
Oklahoma,Mcclain,Conservative,1
Montana,Mccone,Conservative,1
South Dakota,Mccook,Conservative,1
South Carolina,Mccormick,Conservative,1
Kentucky,Mccracken,Conservative,1
Kentucky,Mccreary,Conservative,1
Texas,Mcculloch,Conservative,1
Oklahoma,Mccurtain,Conservative,1
Missouri,Mcdonald,Conservative,1
Illinois,McDonough,Conservative,1
North Carolina,Mcdowell,Conservative,1
West Virginia,Mcdowell,Conservative,1
Georgia,Mcduffie,Conservative,1
Illinois,Mchenry,Conservative,1
North Dakota,Mchenry,Conservative,1
Georgia,Mcintosh,Conservative,1
North Dakota,Mcintosh,Conservative,1
Oklahoma,Mcintosh,Conservative,1
Pennsylvania,Mckean,Conservative,1
North Dakota,Mckenzie,Conservative,1
New Mexico,Mckinley,Conservative,1
Illinois,Mclean,Conservative,1
Kentucky,Mclean,Conservative,1
North Dakota,Mclean,Conservative,1
Texas,Mclennan,Conservative,1
Minnesota,Mcleod,Conservative,1
Tennessee,Mcminn,Conservative,1
Texas,Mcmullen,Conservative,1
Tennessee,Mcnairy,Conservative,1
Kansas,Mcpherson,Conservative,1
Nebraska,Mcpherson,Conservative,1
South Dakota,Mcpherson,Conservative,1
Kansas,Meade,Conservative,1
Kentucky,Meade,Conservative,1
South Dakota,Meade,Conservative,1
Montana,Meagher,Conservative,1
North Carolina,Mecklenburg,Conservative,1
Virginia,Mecklenburg,Conservative,1
Michigan,Mecosta,Conservative,1
Ohio,Medina,Conservative,1
Texas,Medina,Conservative,1
Minnesota,Meeker,Conservative,1
Ohio,Meigs,Conservative,1
Tennessee,Meigs,Conservative,1
South Dakota,Mellette,Conservative,1
Illinois,Menard,Conservative,1
Texas,Menard,Conservative,1
California,Mendocino,Conservative,1
Kentucky,Menifee,Conservative,1
Michigan,Menominee,Conservative,1
Wisconsin,Menominee,Conservative,1
California,Merced,Conservative,1
Illinois,Mercer,Conservative,1
Kentucky,Mercer,Conservative,1
Missouri,Mercer,Conservative,1
North Dakota,Mercer,Conservative,1
New Jersey,Mercer,Conservative,1
Ohio,Mercer,Conservative,1
Pennsylvania,Mercer,Conservative,1
West Virginia,Mercer,Conservative,1
Georgia,Meriwether,Conservative,1
Nebraska,Merrick,Conservative,1
New Hampshire,Merrimack,Conservative,1
Colorado,Mesa,Conservative,1
Kentucky,Metcalfe,Conservative,1
Indiana,Miami,Conservative,1
Kansas,Miami,Conservative,1
Ohio,Miami,Conservative,1
Connecticut,Middlesex,Conservative,1
Massachusetts,Middlesex,Conservative,1
New Jersey,Middlesex,Conservative,1
Virginia,Middlesex,Conservative,1
Michigan,Midland,Conservative,1
Texas,Midland,Conservative,1
Pennsylvania,Mifflin,Conservative,1
Texas,Milam,Conservative,1
Utah,Millard,Conservative,1
Minnesota,Mille Lacs,Conservative,1
Arkansas,Miller,Conservative,1
Georgia,Miller,Conservative,1
Missouri,Miller,Conservative,1
Iowa,Mills,Conservative,1
Texas,Mills,Conservative,1
Wisconsin,Milwaukee,Conservative,1
South Dakota,Miner,Conservative,1
Colorado,Mineral,Conservative,1
Montana,Mineral,Conservative,1
Nevada,Mineral,Conservative,1
West Virginia,Mineral,Conservative,1
West Virginia,Mingo,Conservative,1
Idaho,Minidoka,Conservative,1
South Dakota,Minnehaha,Conservative,1
Michigan,Missaukee,Conservative,1
Arkansas,Mississippi,Conservative,1
Missouri,Mississippi,Conservative,1
Montana,Missoula,Conservative,1
Georgia,Mitchell,Conservative,1
Iowa,Mitchell,Conservative,1
Kansas,Mitchell,Conservative,1
North Carolina,Mitchell,Conservative,1
Texas,Mitchell,Conservative,1
Alabama,Mobile,Conservative,1
California,Modoc,Conservative,1
Colorado,Moffat,Conservative,1
Arizona,Mohave,Conservative,1
Missouri,Moniteau,Conservative,1
New Jersey,Monmouth,Conservative,1
California,Mono,Conservative,1
Iowa,Monona,Conservative,1
West Virginia,Monongalia,Conservative,1
Alabama,Monroe,Conservative,1
Arkansas,Monroe,Conservative,1
Florida,Monroe,Conservative,1
Georgia,Monroe,Conservative,1
Iowa,Monroe,Conservative,1
Illinois,Monroe,Conservative,1
Indiana,Monroe,Conservative,1
Kentucky,Monroe,Conservative,1
Michigan,Monroe,Conservative,1
Missouri,Monroe,Conservative,1
Mississippi,Monroe,Conservative,1
New York,Monroe,Conservative,1
Ohio,Monroe,Conservative,1
Pennsylvania,Monroe,Conservative,1
Tennessee,Monroe,Conservative,1
Wisconsin,Monroe,Conservative,1
West Virginia,Monroe,Conservative,1
Texas,Montague,Conservative,1
Michigan,Montcalm,Conservative,1
California,Monterey,Conservative,1
Colorado,Montezuma,Conservative,1
Alabama,Montgomery,Conservative,1
Georgia,Montgomery,Conservative,1
Iowa,Montgomery,Conservative,1
Illinois,Montgomery,Conservative,1
Indiana,Montgomery,Conservative,1
Kansas,Montgomery,Conservative,1
Kentucky,Montgomery,Conservative,1
Maryland,Montgomery,Conservative,1
Missouri,Montgomery,Conservative,1
Mississippi,Montgomery,Conservative,1
North Carolina,Montgomery,Conservative,1
New York,Montgomery,Conservative,1
Ohio,Montgomery,Conservative,1
Pennsylvania,Montgomery,Conservative,1
Tennessee,Montgomery,Conservative,1
Texas,Montgomery,Conservative,1
Virginia,Montgomery,Conservative,1
Michigan,Montmorency,Conservative,1
Pennsylvania,Montour,Conservative,1
Colorado,Montrose,Conservative,1
South Dakota,Moody,Conservative,1
North Carolina,Moore,Conservative,1
Tennessee,Moore,Conservative,1
Texas,Moore,Conservative,1
New Mexico,Mora,Conservative,1
Louisiana,Morehouse,Conservative,1
Alabama,Morgan,Conservative,1
Colorado,Morgan,Conservative,1
Georgia,Morgan,Conservative,1
Illinois,Morgan,Conservative,1
Indiana,Morgan,Conservative,1
Kentucky,Morgan,Conservative,1
Missouri,Morgan,Conservative,1
Ohio,Morgan,Conservative,1
Tennessee,Morgan,Conservative,1
Utah,Morgan,Conservative,1
West Virginia,Morgan,Conservative,1
Nebraska,Morrill,Conservative,1
Kansas,Morris,Conservative,1
New Jersey,Morris,Conservative,1
Texas,Morris,Conservative,1
Minnesota,Morrison,Conservative,1
Ohio,Morrow,Conservative,1
Oregon,Morrow,Conservative,1
Kansas,Morton,Conservative,1
North Dakota,Morton,Conservative,1
Texas,Motley,Conservative,1
Illinois,Moultrie,Conservative,1
North Dakota,Mountrail,Conservative,1
Minnesota,Mower,Conservative,1
Kentucky,Muhlenberg,Conservative,1
Oregon,Multnomah,Conservative,1
Georgia,Murray,Conservative,1
Minnesota,Murray,Conservative,1
Oklahoma,Murray,Conservative,1
Iowa,Muscatine,Conservative,1
Georgia,Muscogee,Conservative,1
Michigan,Muskegon,Conservative,1
Ohio,Muskingum,Conservative,1
Oklahoma,Muskogee,Conservative,1
Montana,Musselshell,Conservative,1
Texas,Nacogdoches,Conservative,1
Nebraska,Nance,Conservative,1
Massachusetts,Nantucket,Conservative,1
California,Napa,Conservative,1
North Carolina,Nash,Conservative,1
Florida,Nassau,Conservative,1
New York,Nassau,Conservative,1
Louisiana,Natchitoches,Conservative,1
Wyoming,Natrona,Conservative,1
Arizona,Navajo,Conservative,1
Texas,Navarro,Conservative,1
Kentucky,Nelson,Conservative,1
North Dakota,Nelson,Conservative,1
Virginia,Nelson,Conservative,1
Kansas,Nemaha,Conservative,1
Nebraska,Nemaha,Conservative,1
Kansas,Neosho,Conservative,1
Mississippi,Neshoba,Conservative,1
Kansas,Ness,Conservative,1
Arkansas,Nevada,Conservative,1
California,Nevada,Conservative,1
Delaware,New Castle,Conservative,1
North Carolina,New Hanover,Conservative,1
Connecticut,New Haven,Conservative,1
Virginia,New Kent,Conservative,1
Connecticut,New London,Conservative,1
Missouri,New Madrid,Conservative,1
New York,New York,Conservative,1
Michigan,Newaygo,Conservative,1
South Carolina,Newberry,Conservative,1
Rhode Island,Newport,Conservative,1
Arkansas,Newton,Conservative,1
Georgia,Newton,Conservative,1
Indiana,Newton,Conservative,1
Missouri,Newton,Conservative,1
Mississippi,Newton,Conservative,1
Texas,Newton,Conservative,1
Idaho,Nez Perce,Conservative,1
New York,Niagara,Conservative,1
Kentucky,Nicholas,Conservative,1
West Virginia,Nicholas,Conservative,1
Minnesota,Nicollet,Conservative,1
Wyoming,Niobrara,Conservative,1
Indiana,Noble,Conservative,1
Ohio,Noble,Conservative,1
Oklahoma,Noble,Conservative,1
Minnesota,Nobles,Conservative,1
Missouri,Nodaway,Conservative,1
Texas,Nolan,Conservative,1
Massachusetts,Norfolk,Conservative,1
Minnesota,Norman,Conservative,1
North Carolina,Northampton,Conservative,1
Pennsylvania,Northampton,Conservative,1
Virginia,Northampton,Conservative,1
Pennsylvania,Northumberland,Conservative,1
Virginia,Northumberland,Conservative,1
Kansas,Norton,Conservative,1
Virginia,Nottoway,Conservative,1
Oklahoma,Nowata,Conservative,1
Mississippi,Noxubee,Conservative,1
Nebraska,Nuckolls,Conservative,1
Texas,Nueces,Conservative,1
Nevada,Nye,Conservative,1
Michigan,Oakland,Conservative,1
Tennessee,Obion,Conservative,1
New Jersey,Ocean,Conservative,1
Michigan,Oceana,Conservative,1
Texas,Ochiltree,Conservative,1
Georgia,Oconee,Conservative,1
South Carolina,Oconee,Conservative,1
Wisconsin,Oconto,Conservative,1
Michigan,Ogemaw,Conservative,1
Illinois,Ogle,Conservative,1
Georgia,Oglethorpe,Conservative,1
Indiana,Ohio,Conservative,1
Kentucky,Ohio,Conservative,1
West Virginia,Ohio,Conservative,1
Florida,Okaloosa,Conservative,1
Washington,Okanogan,Conservative,1
Florida,Okeechobee,Conservative,1
Oklahoma,Okfuskee,Conservative,1
Oklahoma,Oklahoma,Conservative,1
Oklahoma,Okmulgee,Conservative,1
Mississippi,Oktibbeha,Conservative,1
Kentucky,Oldham,Conservative,1
Texas,Oldham,Conservative,1
North Dakota,Oliver,Conservative,1
Minnesota,Olmsted,Conservative,1
Idaho,Oneida,Conservative,1
New York,Oneida,Conservative,1
Wisconsin,Oneida,Conservative,1
New York,Onondaga,Conservative,1
North Carolina,Onslow,Conservative,1
New York,Ontario,Conservative,1
Michigan,Ontonagon,Conservative,1
California,Orange,Conservative,1
Florida,Orange,Conservative,1
Indiana,Orange,Conservative,1
North Carolina,Orange,Conservative,1
New York,Orange,Conservative,1
Texas,Orange,Conservative,1
Virginia,Orange,Conservative,1
Vermont,Orange,Conservative,1
South Carolina,Orangeburg,Conservative,1
Missouri,Oregon,Conservative,1
Louisiana,Orleans,Conservative,1
New York,Orleans,Conservative,1
Vermont,Orleans,Conservative,1
Kansas,Osage,Conservative,1
Missouri,Osage,Conservative,1
Oklahoma,Osage,Conservative,1
Kansas,Osborne,Conservative,1
Florida,Osceola,Conservative,1
Iowa,Osceola,Conservative,1
Michigan,Osceola,Conservative,1
Michigan,Oscoda,Conservative,1
New York,Oswego,Conservative,1
Colorado,Otero,Conservative,1
New Mexico,Otero,Conservative,1
Nebraska,Otoe,Conservative,1
Michigan,Otsego,Conservative,1
New York,Otsego,Conservative,1
Kansas,Ottawa,Conservative,1
Michigan,Ottawa,Conservative,1
Ohio,Ottawa,Conservative,1
Oklahoma,Ottawa,Conservative,1
Minnesota,Otter Tail,Conservative,1
Arkansas,Ouachita,Conservative,1
Louisiana,Ouachita,Conservative,1
Colorado,Ouray,Conservative,1
Wisconsin,Outagamie,Conservative,1
Tennessee,Overton,Conservative,1
Indiana,Owen,Conservative,1
Kentucky,Owen,Conservative,1
Kentucky,Owsley,Conservative,1
Idaho,Owyhee,Conservative,1
Maine,Oxford,Conservative,1
Missouri,Ozark,Conservative,1
Wisconsin,Ozaukee,Conservative,1
Washington,Pacific,Conservative,1
Iowa,Page,Conservative,1
Virginia,Page,Conservative,1
Florida,Palm Beach,Conservative,1
Iowa,Palo Alto,Conservative,1
Texas,Palo Pinto,Conservative,1
North Carolina,Pamlico,Conservative,1
Mississippi,Panola,Conservative,1
Texas,Panola,Conservative,1
Colorado,Park,Conservative,1
Montana,Park,Conservative,1
Wyoming,Park,Conservative,1
Indiana,Parke,Conservative,1
Texas,Parker,Conservative,1
Texas,Parmer,Conservative,1
Florida,Pasco,Conservative,1
North Carolina,Pasquotank,Conservative,1
New Jersey,Passaic,Conservative,1
Virginia,Patrick,Conservative,1
Georgia,Paulding,Conservative,1
Ohio,Paulding,Conservative,1
Kansas,Pawnee,Conservative,1
Nebraska,Pawnee,Conservative,1
Oklahoma,Pawnee,Conservative,1
Idaho,Payette,Conservative,1
Oklahoma,Payne,Conservative,1
Georgia,Peach,Conservative,1
Mississippi,Pearl River,Conservative,1
Texas,Pecos,Conservative,1
North Dakota,Pembina,Conservative,1
Missouri,Pemiscot,Conservative,1
Washington,Pend Oreille,Conservative,1
North Carolina,Pender,Conservative,1
Kentucky,Pendleton,Conservative,1
West Virginia,Pendleton,Conservative,1
Minnesota,Pennington,Conservative,1
South Dakota,Pennington,Conservative,1
Maine,Penobscot,Conservative,1
Illinois,Peoria,Conservative,1
Wisconsin,Pepin,Conservative,1
Nebraska,Perkins,Conservative,1
South Dakota,Perkins,Conservative,1
North Carolina,Perquimans,Conservative,1
Alabama,Perry,Conservative,1
Arkansas,Perry,Conservative,1
Illinois,Perry,Conservative,1
Indiana,Perry,Conservative,1
Kentucky,Perry,Conservative,1
Missouri,Perry,Conservative,1
Mississippi,Perry,Conservative,1
Ohio,Perry,Conservative,1
Pennsylvania,Perry,Conservative,1
Tennessee,Perry,Conservative,1
Nevada,Pershing,Conservative,1
North Carolina,Person,Conservative,1
Montana,Petroleum,Conservative,1
Missouri,Pettis,Conservative,1
Missouri,Phelps,Conservative,1
Nebraska,Phelps,Conservative,1
Pennsylvania,Philadelphia,Conservative,1
Arkansas,Phillips,Conservative,1
Colorado,Phillips,Conservative,1
Kansas,Phillips,Conservative,1
Montana,Phillips,Conservative,1
Illinois,Piatt,Conservative,1
Ohio,Pickaway,Conservative,1
Alabama,Pickens,Conservative,1
Georgia,Pickens,Conservative,1
South Carolina,Pickens,Conservative,1
Tennessee,Pickett,Conservative,1
Georgia,Pierce,Conservative,1
North Dakota,Pierce,Conservative,1
Nebraska,Pierce,Conservative,1
Washington,Pierce,Conservative,1
Wisconsin,Pierce,Conservative,1
Alabama,Pike,Conservative,1
Arkansas,Pike,Conservative,1
Georgia,Pike,Conservative,1
Illinois,Pike,Conservative,1
Indiana,Pike,Conservative,1
Kentucky,Pike,Conservative,1
Missouri,Pike,Conservative,1
Mississippi,Pike,Conservative,1
Ohio,Pike,Conservative,1
Pennsylvania,Pike,Conservative,1
Arizona,Pima,Conservative,1
Arizona,Pinal,Conservative,1
Minnesota,Pine,Conservative,1
Florida,Pinellas,Conservative,1
Minnesota,Pipestone,Conservative,1
Maine,Piscataquis,Conservative,1
Colorado,Pitkin,Conservative,1
North Carolina,Pitt,Conservative,1
Oklahoma,Pittsburg,Conservative,1
Virginia,Pittsylvania,Conservative,1
Utah,Piute,Conservative,1
California,Placer,Conservative,1
Louisiana,Plaquemines,Conservative,1
Missouri,Platte,Conservative,1
Nebraska,Platte,Conservative,1
Wyoming,Platte,Conservative,1
West Virginia,Pleasants,Conservative,1
California,Plumas,Conservative,1
Iowa,Plymouth,Conservative,1
Massachusetts,Plymouth,Conservative,1
Iowa,Pocahontas,Conservative,1
West Virginia,Pocahontas,Conservative,1
Arkansas,Poinsett,Conservative,1
Louisiana,Pointe Coupee,Conservative,1
Arkansas,Polk,Conservative,1
Florida,Polk,Conservative,1
Georgia,Polk,Conservative,1
Iowa,Polk,Conservative,1
Minnesota,Polk,Conservative,1
Missouri,Polk,Conservative,1
North Carolina,Polk,Conservative,1
Nebraska,Polk,Conservative,1
Oregon,Polk,Conservative,1
Tennessee,Polk,Conservative,1
Texas,Polk,Conservative,1
Wisconsin,Polk,Conservative,1
Montana,Pondera,Conservative,1
Mississippi,Pontotoc,Conservative,1
Oklahoma,Pontotoc,Conservative,1
Arkansas,Pope,Conservative,1
Illinois,Pope,Conservative,1
Minnesota,Pope,Conservative,1
Ohio,Portage,Conservative,1
Wisconsin,Portage,Conservative,1
Indiana,Porter,Conservative,1
Indiana,Posey,Conservative,1
Kansas,Pottawatomie,Conservative,1
Oklahoma,Pottawatomie,Conservative,1
Iowa,Pottawattamie,Conservative,1
Pennsylvania,Potter,Conservative,1
South Dakota,Potter,Conservative,1
Texas,Potter,Conservative,1
Montana,Powder River,Conservative,1
Kentucky,Powell,Conservative,1
Montana,Powell,Conservative,1
Idaho,Power,Conservative,1
Iowa,Poweshiek,Conservative,1
Virginia,Powhatan,Conservative,1
Arkansas,Prairie,Conservative,1
Montana,Prairie,Conservative,1
Kansas,Pratt,Conservative,1
Ohio,Preble,Conservative,1
Mississippi,Prentiss,Conservative,1
Texas,Presidio,Conservative,1
Michigan,Presque Isle,Conservative,1
West Virginia,Preston,Conservative,1
Wisconsin,Price,Conservative,1
Virginia,Prince Edward,Conservative,1
Virginia,Prince George,Conservative,1
Virginia,Prince William,Conservative,1
Rhode Island,Providence,Conservative,1
Colorado,Prowers,Conservative,1
Colorado,Pueblo,Conservative,1
Arkansas,Pulaski,Conservative,1
Georgia,Pulaski,Conservative,1
Illinois,Pulaski,Conservative,1
Indiana,Pulaski,Conservative,1
Kentucky,Pulaski,Conservative,1
Missouri,Pulaski,Conservative,1
Virginia,Pulaski,Conservative,1
Oklahoma,Pushmataha,Conservative,1
Florida,Putnam,Conservative,1
Georgia,Putnam,Conservative,1
Illinois,Putnam,Conservative,1
Indiana,Putnam,Conservative,1
Missouri,Putnam,Conservative,1
New York,Putnam,Conservative,1
Ohio,Putnam,Conservative,1
Tennessee,Putnam,Conservative,1
West Virginia,Putnam,Conservative,1
New Mexico,Quay,Conservative,1
New York,Queens,Conservative,1
Georgia,Quitman,Conservative,1
Mississippi,Quitman,Conservative,1
Georgia,Rabun,Conservative,1
Wisconsin,Racine,Conservative,1
Texas,Rains,Conservative,1
West Virginia,Raleigh,Conservative,1
Missouri,Ralls,Conservative,1
Minnesota,Ramsey,Conservative,1
North Dakota,Ramsey,Conservative,1
Texas,Randall,Conservative,1
Alabama,Randolph,Conservative,1
Arkansas,Randolph,Conservative,1
Georgia,Randolph,Conservative,1
Illinois,Randolph,Conservative,1
Indiana,Randolph,Conservative,1
Missouri,Randolph,Conservative,1
North Carolina,Randolph,Conservative,1
West Virginia,Randolph,Conservative,1
Mississippi,Rankin,Conservative,1
North Dakota,Ransom,Conservative,1
Louisiana,Rapides,Conservative,1
Virginia,Rappahannock,Conservative,1
Montana,Ravalli,Conservative,1
Kansas,Rawlins,Conservative,1
Missouri,Ray,Conservative,1
Texas,Reagan,Conservative,1
Texas,Real,Conservative,1
Minnesota,Red Lake,Conservative,1
Louisiana,Red River,Conservative,1
Texas,Red River,Conservative,1
Nebraska,Red Willow,Conservative,1
Minnesota,Redwood,Conservative,1
Texas,Reeves,Conservative,1
Texas,Refugio,Conservative,1
Kansas,Reno,Conservative,1
New York,Rensselaer,Conservative,1
Minnesota,Renville,Conservative,1
North Dakota,Renville,Conservative,1
Kansas,Republic,Conservative,1
Missouri,Reynolds,Conservative,1
Tennessee,Rhea,Conservative,1
Kansas,Rice,Conservative,1
Minnesota,Rice,Conservative,1
Utah,Rich,Conservative,1
Nebraska,Richardson,Conservative,1
Illinois,Richland,Conservative,1
Louisiana,Richland,Conservative,1
Montana,Richland,Conservative,1
North Dakota,Richland,Conservative,1
Ohio,Richland,Conservative,1
South Carolina,Richland,Conservative,1
Wisconsin,Richland,Conservative,1
Georgia,Richmond,Conservative,1
North Carolina,Richmond,Conservative,1
New York,Richmond,Conservative,1
Virginia,Richmond,Conservative,1
Kansas,Riley,Conservative,1
Iowa,Ringgold,Conservative,1
New Mexico,Rio Arriba,Conservative,1
Colorado,Rio Blanco,Conservative,1
Colorado,Rio Grande,Conservative,1
Indiana,Ripley,Conservative,1
Missouri,Ripley,Conservative,1
West Virginia,Ritchie,Conservative,1
California,Riverside,Conservative,1
Tennessee,Roane,Conservative,1
West Virginia,Roane,Conservative,1
Virginia,Roanoke,Conservative,1
South Dakota,Roberts,Conservative,1
Texas,Roberts,Conservative,1
Kentucky,Robertson,Conservative,1
Tennessee,Robertson,Conservative,1
Texas,Robertson,Conservative,1
North Carolina,Robeson,Conservative,1
Illinois,Rock Island,Conservative,1
Minnesota,Rock,Conservative,1
Nebraska,Rock,Conservative,1
Wisconsin,Rock,Conservative,1
Virginia,Rockbridge,Conservative,1
Kentucky,Rockcastle,Conservative,1
Georgia,Rockdale,Conservative,1
North Carolina,Rockingham,Conservative,1
New Hampshire,Rockingham,Conservative,1
Virginia,Rockingham,Conservative,1
New York,Rockland,Conservative,1
Texas,Rockwall,Conservative,1
Oklahoma,Roger Mills,Conservative,1
Oklahoma,Rogers,Conservative,1
North Dakota,Rolette,Conservative,1
Kansas,Rooks,Conservative,1
Montana,Roosevelt,Conservative,1
New Mexico,Roosevelt,Conservative,1
Michigan,Roscommon,Conservative,1
Minnesota,Roseau,Conservative,1
Montana,Rosebud,Conservative,1
Ohio,Ross,Conservative,1
Colorado,Routt,Conservative,1
Kentucky,Rowan,Conservative,1
North Carolina,Rowan,Conservative,1
Texas,Runnels,Conservative,1
Indiana,Rush,Conservative,1
Kansas,Rush,Conservative,1
Texas,Rusk,Conservative,1
Wisconsin,Rusk,Conservative,1
Alabama,Russell,Conservative,1
Kansas,Russell,Conservative,1
Kentucky,Russell,Conservative,1
Virginia,Russell,Conservative,1
North Carolina,Rutherford,Conservative,1
Tennessee,Rutherford,Conservative,1
Vermont,Rutland,Conservative,1
Louisiana,Sabine,Conservative,1
Texas,Sabine,Conservative,1
Iowa,Sac,Conservative,1
California,Sacramento,Conservative,1
Maine,Sagadahoc,Conservative,1
Michigan,Saginaw,Conservative,1
Colorado,Saguache,Conservative,1
New Jersey,Salem,Conservative,1
Arkansas,Saline,Conservative,1
Illinois,Saline,Conservative,1
Kansas,Saline,Conservative,1
Missouri,Saline,Conservative,1
Nebraska,Saline,Conservative,1
Utah,Salt Lake,Conservative,1
South Carolina,Saluda,Conservative,1
North Carolina,Sampson,Conservative,1
Texas,San Augustine,Conservative,1
California,San Benito,Conservative,1
California,San Bernardino,Conservative,1
California,San Diego,Conservative,1
California,San Francisco,Conservative,1
Texas,San Jacinto,Conservative,1
California,San Joaquin,Conservative,1
Colorado,San Juan,Conservative,1
New Mexico,San Juan,Conservative,1
Utah,San Juan,Conservative,1
Washington,San Juan,Conservative,1
California,San Luis Obispo,Conservative,1
California,San Mateo,Conservative,1
Colorado,San Miguel,Conservative,1
New Mexico,San Miguel,Conservative,1
Texas,San Patricio,Conservative,1
Texas,San Saba,Conservative,1
South Dakota,Sanborn,Conservative,1
Montana,Sanders,Conservative,1
New Mexico,Sandoval,Conservative,1
Ohio,Sandusky,Conservative,1
Illinois,Sangamon,Conservative,1
Michigan,Sanilac,Conservative,1
Utah,Sanpete,Conservative,1
California,Santa Barbara,Conservative,1
California,Santa Clara,Conservative,1
Arizona,Santa Cruz,Conservative,1
California,Santa Cruz,Conservative,1
New Mexico,Santa Fe,Conservative,1
Florida,Santa Rosa,Conservative,1
Florida,Sarasota,Conservative,1
New York,Saratoga,Conservative,1
North Dakota,Sargent,Conservative,1
Nebraska,Sarpy,Conservative,1
Wisconsin,Sauk,Conservative,1
Nebraska,Saunders,Conservative,1
Wisconsin,Sawyer,Conservative,1
New York,Schenectady,Conservative,1
Texas,Schleicher,Conservative,1
Georgia,Schley,Conservative,1
New York,Schoharie,Conservative,1
Michigan,Schoolcraft,Conservative,1
Illinois,Schuyler,Conservative,1
Missouri,Schuyler,Conservative,1
New York,Schuyler,Conservative,1
Pennsylvania,Schuylkill,Conservative,1
Ohio,Scioto,Conservative,1
Missouri,Scotland,Conservative,1
